,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
569,New York Times,2022-12-15,Writer,1700-word artist profile,1700 word artist profile,writing and reporting,1700,article,1700,per word,1,$1 per word,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,US,Yes,NY,US,She/Her,"Jewish, White",15-20 years,39,Complicated feelings,Female,2022-12-15,The New York Times,news
570,New York Times,2022-03-11,Illustrator,"Illustration approximately  2.25” wide, 2.44 (for print) and a web ratio of 3:2 to accompany a book review.",illustration approximately 2.25” wide 2.44 (for print) and a web ratio of 3:2 to accompany a book review.,graphics/design,,review,400,,0,,,,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,Unsure,,Fiction General/Genre,USA,No,Florida,USA,She/Her,Hispanic,0-5 years,27,Loved it,"Cis, Female",2022-03-11,The New York Times,news
571,New York times book review,2023-08-16,,"Two books, one review ",two books one review,writing and reporting,,review,1200,,0,,16,75,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-08-16,The New York Times Book Review,news
572,New York Times Book Review,2023-08-01,,Essay on children's books,essay on children's books,writing and reporting,,essay,1000,,0,,15,66.67,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-08-01,The New York Times Book Review,news
573,New York Times Magazine,2025-03-04,Writer,Screenland essay,screenland essay,writing and reporting,,essay,3287.5,per word,2.5,$2.50 per word,30,109.58,30 days,Direct Deposit,No pre-existing relationship,,Yes,,"Yes, but the job wasn't killed",,,,,,,,,,,,,Yes,,,,,,,,,2025-03-04,The New York Times Magazine,news
574,New York Times Opinion,2024-05-01,Writer,800-1200 word opinion piece on complex scientific and historical phenomenon,800 1200 word opinion piece on complex scientific and historical phenomenon,writing and reporting,1000,op/ed,500,flat,500,1000 words or under: $500; 1001-1200 words: $700; 1201+: $1200,8,62.5,New Job - Still Waiting,,"Pre-existing relationship, They reached out to me with an assignment",Unsure,No,No,Unsure,,Required overtime &amp; I wasn't compensated,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Editorial &amp; Opinion,United States,Yes,New York,New York,She/Her,White,10-15 years,41,Hated it,Female,2024-05-01,The New York Times,news
575,New York Times Opinion,2021-02-01,Writer,950-word opinion piece,950 word opinion piece,writing and reporting,950,op/ed,500,flat,500,$250 for online only; $500 if also in print,,,Over 3 months,Haven't been paid yet,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Editorial &amp; Opinion,Germany,No,,,She/Her,White,10-15 years,32,"Loved it, Would recommend to others","Cis, Female",2021-02-01,The New York Times,news
576,New Yorker,2023-04-01,Writer,Profile,profile,writing and reporting,,article,3000,,0,,300,10,6 weeks,Direct Deposit,"Pre-existing relationship, Cold pitch - I reached out to them",Unsure,No,Yes,Unsure,,Unsure,Initial job scope was bigger; word count got cut halfway through,Required expenses &amp; I was reimbursed,"I had to put money up front, did not get a perdiem rate",Was not hazardous,No,No,No,,National News,Canada,Yes,,New York,She/Her,White,0-5 years,37,New Yorker -- can't eat prestige,Female,2023-04-01,The New Yorker,news
577,New Yorker,2019-11-20,Writer,1550 words criticism/reporting,1550 words criticism/reporting,writing and reporting,1550,article,325,,0,,,,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-20,The New Yorker,news
578,Next Avenue,2024-10-07,Writer,"Election story, approximately 1100 words",election story approximately 1100 words,writing and reporting,1100,article,500,,0,,8,62.5,New Job - Still Waiting,Haven't been paid yet,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",100,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Publicly Available,No,Unsure,,"National News, Politics, Health &amp; Wellness",United States,No,California,United States,She/Her,South Asian,10-15 years,,Loved it,"Cis, Female",2024-10-07,Next Avenue,news
579,Next Avenue,2023-07-13,Writer,900-1400 words personal essay,900 1400 words personal essay,writing and reporting,1150,essay,300,,0,,5,60,2 weeks or less,Direct Deposit,"No pre-existing relationship, Cold pitch - I reached out to them",Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Health &amp; Wellness,United States,No,New York,United States,She/Her,Latine,0-5 years,35,Loved it,Female,2023-07-13,Next Avenue,news
580,Next City,2024-08-01,Writer,"800 words, reported",800 words reported,writing and reporting,800,article,400,,0,,,,30 days,Direct Deposit,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-08-01,Next City,news
581,Nieman,2020-12-01,Writer,2000 word reported piece,2000 word reported piece,writing and reporting,2000,article,2000,per word,1,$1/word,,,New Job - Still Waiting,,They reached out to me with an assignment,1st Rights,Yes,,"No, but the job wasn't killed",,,,,,,,,,,,United States,Yes,NY,United States,She/Her,East Asian,5-10 years,28,"Whatevs, Would recommend to others","Cis, Female",2020-12-01,Nieman Reports,news
582,Nieman Reports,2021-01-15,Writer,Reported feature essay,reported feature essay,writing and reporting,,feature,2000,per word,1,$1/ word,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,1st Rights,Yes,No,"Yes, but the job wasn't killed",,,,,,,,,,,,,,,,,,,,,,2021-01-15,Nieman Reports,news
583,Nikkei Asia,2023-11-01,Writer,700 words exclusive reporting,700 words exclusive reporting,writing and reporting,700,article,400,,0,,,,2 weeks or less,Direct Deposit,"Cold pitch - I reached out to them, Network referral",,,,,,,,,,,,,,,Politics,,No,,,,,,,,,2023-11-01,The Nikkei,news
584,Noema,2024-03-01,Writer,Reported 3000 word piece,reported 3000 word piece,writing and reporting,3000,article,750,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,1st Rights,Yes,,"Yes, &amp; the job was killed",750,,Job expanded &amp; I wasn't compensated,Required expenses &amp; I wasn't reimbursed,,,Publicly Available,Unsure,No,,,USA,No,California,USA,Prefer not to say,,5-10 years,,"Hated it, Would not recommend to others",,2024-03-01,Noema,news
585,NOEMA,2024-01-05,Writer,Reported feature,reported feature,writing and reporting,,feature,5000,per word,1,$1 per word,240,20.83,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,,"Yes, but the job wasn't killed",2500,,,,,,,,,,,,Yes,,,He/His,White,10-15 years,,Would recommend to others,"Cis, Male",2024-01-05,Noema,news
586,Nonprofit Quarterly,2024-01-01,Writer,1000-plus word story,1000 plus word story,writing and reporting,1000,article,500,,0,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2024-01-01,Nonprofit Quarterly,news
587,NPR,2024-09-15,Writer,"10 blurbs, 100-150 words each, for the site's Books We Love roundup",10 blurbs 100 150 words each for the site's books we love roundup,writing and reporting,1500,article,400,,0,,3,133.33,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-09-15,NPR,news
588,NPR,2024-10-11,"Audio Production, Producer, Writer","Reported, field produced, and wrote 4-minute radio story",reported field produced and wrote 4 minute radio story,audio,,audio,650,per article,650,$650 per story,40.25,16.15,New Job - Still Waiting,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,Unsure,,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,Added mileage to my invoice,Was not hazardous,No,No,No,,"National News, Arts &amp; Culture",USA,Yes,CA,Washington DC,She/Her,"Indigenous, Latine",15-20 years,42,Whatevs,"Cis, Female",2024-10-11,NPR,news
589,NPR,2023-04-07,,single-book review,single book review,writing and reporting,,review,350,,0,,17,20.59,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2023-04-07,NPR,news
590,NPR,2023-01-17,Writer,800-word book review,800 word book review,writing and reporting,800,review,300,,0,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2023-01-17,NPR,news
591,NPR,2022-01-01,Writer,Book Review,book review,writing and reporting,,review,300,per article,300,$300 per review,,,30 days,Direct Deposit,They asked me to pitch,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, &amp; the job was killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,No,No,No,,Fiction Young Adult,USA,No,Florida,NY,She/Her,White,25 &amp; up,46,"Loved it, Would not recommend to others","Cis, Female",2022-01-01,NPR,news
592,NPR,2022-07-13,Writer,book review,book review,writing and reporting,,review,300,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-13,NPR,news
593,NPR,2022-10-01,Writer,Books We Love,books we love,writing and reporting,,article,240,per article,40,40 per title,,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,"Fiction General/Genre, Fiction Young Adult",usa,No,ca,usa,They/Their,"Black, White",10-15 years,39,Whatevs,Genderqueer,2022-10-01,NPR,news
594,NPR,2022-01-05,"Translator, Writer, Writing Instructor",Book review,book review,writing and reporting,,review,300,,0,,,,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,Email invoice to payments department,Was not hazardous,Unsure,Unsure,Unsure,,Non Fiction Memoir,United States,No,Texas,USA,She/Her,South Asian,0-5 years,50,Would recommend to others,"Cis, Female",2022-01-05,NPR,news
595,NPR,2022-11-01,Writer,Book review,book review,writing and reporting,,review,300,,0,,,,2 months,Check by mail,Cold pitch - I reached out to them,Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,United States,No,CA,,He/His,East Asian,10-15 years,46,Would recommend to others,Male,2022-11-01,NPR,news
596,NPR,2022-08-29,Writer,book reviews,book reviews,writing and reporting,,review,400,,0,,,,2 weeks or less,Direct Deposit,,,Yes,No,,,,,,,,No,No,,,,,No,,,,,,,,,2022-08-29,NPR,news
597,NPR,2022-09-10,Writer,1000-word book review *roundup*,1000 word book review *roundup*,writing and reporting,1000,review,500,,0,,,,30 days,Direct Deposit,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,Did not require overtime,,,,,,,,,,,,,,,,,,,,2022-09-10,NPR,news
598,NPR,2020-11-15,Writer,1000 word trend piece with 5 interviews,1000 word trend piece with 5 interviews,writing and reporting,1000,article,400,,0,,,,30 days,Direct Deposit,"Pre-existing relationship, Cold pitch - I reached out to them",,,,,,,Job did not expand,Did not require expenses,,,Unsure,Unsure,,,Health &amp; Wellness,United States,No,DC,United States,She/Her,White,0-5 years,,Would recommend to others,"Cis, Female",2020-11-15,NPR,news
599,NPR,2021-03-15,Writer,1000 word news report,1000 word news report,writing and reporting,1000,article,350,,0,,,,30 days,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",,Verbal or ‘handshake’ agreement,No,,,,Job did not expand,Did not require expenses,,,Unsure,No,,,Health &amp; Wellness,United States,No,DC,United States,She/Her,White,0-5 years,,Would recommend to others,"Cis, Female",2021-03-15,NPR,news
600,NPR,2021-12-15,"Editor, Writer",1200-word book review,1200 word book review,writing and reporting,1200,review,300,,0,,,,2 weeks or less,Check by mail,Pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",300,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,US,No,NY,US,She/Her,White,5-10 years,31,Would recommend to others,"Cis, Female",2021-12-15,NPR,news
601,NPR,2020-11-12,Writer,800-word book review,800 word book review,writing and reporting,800,review,300,,0,,,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,No,No,"Yes, but the job wasn't killed",300,,,,,,,,,,,,Yes,,,She/Her,"Jewish, White",0-5 years,,Would recommend to others,Female,2020-11-12,NPR,news
602,NUVO,2021-05-13,Writer,2000 word feature,2000 word feature,writing and reporting,2000,feature,125,,0,,,,2 weeks or less,Check by mail,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Politics,United States,Yes,Colorado,Canada,He/His,White,0-5 years,28,Nice to work with but pay was exceptionally low.,"Cis, Male",2021-05-13,NUVO,news
603,NY Post,2022-04-01,Writer,1200 word feature,1200 word feature,writing and reporting,1200,feature,1200,per word,1,$1 a word,,,New Job - Still Waiting,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,No,No,Unsure,,Entertainment,United States,Yes,NY,United States,He/His,White,5-10 years,44,Whatevs,Cis,2022-04-01,New York Post,news
604,NY Times,2024-05-31,Writer,"1,400 word article in the Business section",1400 word article in the business section,writing and reporting,1400,article,1400,per word,1,$1 per word,40,35,2 weeks or less,Direct Deposit,No pre-existing relationship,Work For Hire,Yes,No,Unsure,,Unsure,Job did not expand,Did not require expenses,,Was not hazardous,No,Unsure,No,,Business,US,No,California,California,She/Her,East Asian,0-5 years,,Loved it,"Cis, Female",2024-05-31,The New York Times,news
605,NY Times Book Review,2023-06-15,,Single book review,single book review,writing and reporting,,review,1000,per word,1,$1/word,25,40,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-06-15,The New York Times Book Review,news
606,Nyc productions,2021-04-15,"Editor, Producer, Videographer",Podcast production,podcast production,audio,,audio,3500,per hour,35,35 per hour,,,2 weeks or less,Direct Deposit,Network referral,Unsure,Yes,Yes,Unsure,,Unsure,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,Invoice,Was not hazardous,No,No,Unsure,,Entertainment,USA,No,NY,,,Jewish,5-10 years,,Loved it,,2021-04-15,UNCLEAR,not_news
607,Observer,2023-03-01,,Author Q&amp;A,author q&amp;a,writing and reporting,,article,350,flat,350,$350 for the piece,7,50,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-03-01,Observer,news
608,Observer,2023-06-01,,Essay + interviews,essay + interviews,writing and reporting,,essay,400,per article,400,$400 per piece,6,66.67,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-06-01,Observer,news
609,Observer.com,2024-08-01,Writer,review,review,writing and reporting,,review,200,,0,,,,,Direct Deposit,Pre-existing relationship,Unsure,,,,,,,,,,,,,,,,No,,,,,,,,,2024-08-01,Observer,news
610,Off Assignment,2024-02-01,Writer,800-1800 word essay,800 1800 word essay,writing and reporting,1300,essay,300,flat,300,$300 for essay,10,30,2 weeks or less,Paypal,They reached out to me with an assignment,1st Rights,Yes,No,"Yes, but the job wasn't killed",25,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,Unsure,,Non Fiction Memoir,USA,Yes,CA,USA,She/Her,"Southeast Asian, White",15-20 years,38,Loved it,Female,2024-02-01,Off Assignment,not_news
611,Offrange,2025-06-03,Writer,1000 words book review,1000 words book review,writing and reporting,1000,review,50,,0,,12.75,3.92,New Job - Still Waiting,Haven't been paid yet,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,,Publicly Available,Publicly Available,No,,,United States,No,North Carolina,,He/His,White,5-10 years,34,,Male,2025-06-03,Offrange,ambiguous
612,Ohio State University Press,2020-09-20,"Cartoonist, Illustrator",illustrating full color pages for a children’s book; initially 14 pages then about doubled including cover once there was more direct communication with the editor.,illustrating full color pages for a children’s book; initially 14 pages then about doubled including cover once there was more direct communication with the editor.,graphics/design,,graphics,4500,,0,,,,2 months,Check by mail,Pre-existing relationship,Shared Copyright,Yes,No,"No, but the job wasn't killed",,"the deadlines were kept somewhat loose/changed, but there was no explicit hourly requirement or overtime mentioned",Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,No,No,Unsure,,Fiction Children,US,No,Colorado,Ohio,She/Her,"Latinx, White",0-5 years,25,"Loved it, Would recommend to others","Cis, Female",2020-09-20,Ohio State University Press,not_news
613,Oil Change International,2021-02-01,Illustrator,"34 digital b/w illustrations and graphs, 5-minute video featuring hand-drawn animation",34 digital b/w illustrations and graphs 5 minute video featuring hand drawn animation,graphics/design,,video,12000,per hour,40,$40/hr,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,"Present invoices and receipts, pretty simple",Was not hazardous,No,Unsure,Unsure,,"International News, National News, Editorial &amp; Opinion, Science",USA,Yes,Ohio,USA,he/they,White,0-5 years,25,"Loved it, Would recommend to others","Cis, Male, Nonbinary",2021-02-01,Oil Change International,not_news
614,Old School Gamer Magazine,2025-04-17,Writer,200 word news article,200 word news article,writing and reporting,200,article,18,per article,18,I've been invoicing $250 for 14 articles of any length.,1,18,New Job - Still Waiting,Paypal,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,United States,No,Illinois,United States,He/His,White,10-15 years,37,"Loved it, Would recommend to others",Male,2025-04-17,Old School Gamer Magazine,news
615,one5c,2024-01-01,Writer,"writing a 1,000 word guide (no interviews)",writing a 1000 word guide (no interviews),writing and reporting,1000,article,500,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-01,one5c,news
616,Oneiro | Real Estate services,2023-02-15,Photographer,"Photographing a 50sqm property, still photo shoot, plus a 360 virtual tour",photographing a 50sqm property still photo shoot plus a 360 virtual tour,photography,,graphics,350,per graphic,150,"150 for still photos, 200 for virtual tour, for properties up to 30 sqm, anything bigger is +1 euro per extra square meter.",,,2 weeks or less,Cash,"They asked me to pitch, Network referral",Unsure,Verbal or ‘handshake’ agreement,Yes,"No, but the job wasn't killed",,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,No,No,No,,Real Estate,Greece,No,,Greece,,,0-5 years,28,"Loved it, Would recommend to others",,2023-02-15,UNCLEAR,not_news
617,Oni,2018-06-01,"Cartoonist, Illustrator",120 page full color graphic novel,120 page full color graphic novel,graphics/design,,graphics,6900,,0,,,,2 weeks or less,Direct Deposit,They reached out to me with an assignment,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,,Did not require expenses,,,Unsure,No,No,,Fiction Young Adult,United States,No,Georgia,United States,Prefer not to say,White,0-5 years,24,Whatevs,Trans,2018-06-01,Oni Press,not_news
618,Optimism,2024-01-01,Writer,600-word-ish article with three sections,600 word ish article with three sections,writing and reporting,600,article,250,per article,250,$250 per piece,4,62.5,2 weeks or less,Direct Deposit,"Pre-existing relationship, Network referral",Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,History,United States,No,WA,United States,She/Her,White,15-20 years,37,"Whatevs, Would recommend to others","Cis, Female",2024-01-01,Optimism Monthly,ambiguous
619,Our State,2025-03-01,Writer,500 words reporting,500 words reporting,writing and reporting,500,article,500,,0,,11,45.45,New Job - Still Waiting,Haven't been paid yet,"Pre-existing relationship, They reached out to me with an assignment",,Unsure,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,Unsure,No,No,,Local News,United States,No,North Carolina,,He/His,White,5-10 years,33,Loved it,Cis,2025-03-01,Our State,news
620,Outrider,2024-03-14,Writer,1k words(ish) article,1k words(ish) article,writing and reporting,1000,article,1000,,0,,40,25,30 days,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Publicly Available,No,,,United States of America,Yes,Ohio,,He/His,,0-5 years,,Loved it,,2024-03-14,Outrider Foundation,ambiguous
621,Outside Magazine,2020-03-18,Writer,3k word web feature/essay,3k word web feature/essay,writing and reporting,3000,feature,3750,per word,1.25,$1.25/word (this assignment was salvaged from a print assignment that would have paid $2/word but became unfeasible in the pandemic),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-18,Outside Magazine,news
622,Outside Magazine,2020-11-01,Writer,"1,000-word essay for the website",1000 word essay for the website,writing and reporting,1000,essay,500,per word,0.5,.50 per word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-01,Outside Magazine,news
623,Outside Magazine,2020-08-01,Writer,"5,000-word magazine feature",5000 word magazine feature,writing and reporting,5000,feature,9000,per word,2,$2 per word,,,2 months,Check by mail,Network referral,Shared Copyright,Yes,No,"Yes, but the job wasn't killed",1500,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,"easy and drama-free. just slow to pay, which is my only complaint.",Hazard pay was not required,Unsure,Unsure,No,,National News,us,Yes,colorado,us,He/His,"Jewish, White",5-10 years,32,"Loved it, Would recommend to others",Male,2020-08-01,Outside Magazine,news
624,Oxford American,2020-12-09,Writer,"Essay, 1500 words",essay 1500 words,writing and reporting,1500,essay,500,,0,,,,Over 3 months,Haven't been paid yet,Network referral,1st Rights,Yes,,"Yes, but the job wasn't killed",250,,,,,,,,,,,,,,,,,,,,,2020-12-09,Oxford American,news
625,Paizo,2020-06-02,Writer,"1550 words detailing fictional cultural information, to be used as a jumping off point for future customers to build on.",1550 words detailing fictional cultural information to be used as a jumping off point for future customers to build on.,writing and reporting,1550,other,,per word,0.07,$.07/word,,,30 days,Check by mail,Pre-existing relationship,Work For Hire,No,No,Unsure,,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Hazard pay was not required,No,No,No,,"Fiction General/Genre, Tabletop Roleplaying",USA,No,Texas,USA,They/Their,Native American or First Nation,0-5 years,29,Loved it,"Agender, Two-spirit",2020-06-02,Paizo,not_news
626,palabra,2024-02-04,Writer,"2,000 words deep reporting",2000 words deep reporting,writing and reporting,2000,article,1200,,0,,40,30,2 weeks or less,Direct Deposit,No pre-existing relationship,1st Rights,Yes,No,"Yes, but the job wasn't killed",300,Did not require overtime,Job expanded &amp; I was compensated,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Editorial &amp; Opinion,US,No,NY,US,She/Her,Hispanic,0-5 years,36,Hated it,Female,2024-02-04,palabra.,ambiguous
627,Parents,2024-01-01,Writer,Writing a news story with 2 sources,writing a news story with 2 sources,writing and reporting,,article,150,,0,,3,50,2 months,Direct Deposit,Pre-existing relationship,,Yes,No,,,,,,,,,,,,Health &amp; Wellness,United States,Yes,Colorado,,They/Their,White,0-5 years,27,Whatevs,"Nonbinary, Trans",2024-01-01,Parents,news
628,Parents Magazine,2020-02-01,Writer,800 words reporting,800 words reporting,writing and reporting,800,article,200,per word,0.25,0.25 per word,,,2 weeks or less,Paypal,Cold pitch - I reached out to them,Unsure,Unsure,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Family,,No,,,She/Her,"Hispanic, White",0-5 years,,Loved it,Female,2020-02-01,Parents,news
629,Parents.com,2025-01-02,Writer,"Reported article, rate was flat, they asked for 600-1,000 words",reported article rate was flat they asked for 600 1000 words,writing and reporting,800,article,225,flat,225,,10,22.5,30 days,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,Publicly Available,No,Unsure,,,USA,No,PA,,She/Her,"Latine, White",10-15 years,34,Would recommend to others,"Cis, Female",2025-01-02,Parents,news
630,Paste Magazine,1994-06-17,Writer,800-1000 criticism,800 1000 criticism,writing and reporting,900,op/ed,100,,0,,5,20,30 days,Paypal,Pre-existing relationship,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,,No,No,No,,Entertainment,USA,Yes,Illinois,USA,She/Her,White,0-5 years,30,"I enjoy working with Paste because they give me wiggleroom, but the pay rates are low.","Female, Trans",1994-06-17,Paste Magazine,news
631,Paste Magazine,2023-09-12,Writer,Video Game Criticism,video game criticism,writing and reporting,,video,100,,0,$100.00,5,20,30 days,Paypal,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,Unsure,No,,Entertainment,USA,Yes,Illinois,USA,She/Her,White,0-5 years,29,Would recommend to others,"Female, Trans",2023-09-12,Paste Magazine,news
632,Paste Magazine,2023-07-17,Writer,TV criticism (digital only),tv criticism (digital only),writing and reporting,,review,100,,0,,12,8.33,30 days,Paypal,Pre-existing relationship,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2023-07-17,Paste Magazine,news
633,Paste Magazine,2022-09-23,Writer,TV review,tv review,writing and reporting,,review,100,,0,,,,30 days,Paypal,Pre-existing relationship,Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,,,,No,Unsure,,,Entertainment,,Yes,,,She/Her,White,0-5 years,,,Female,2022-09-23,Paste Magazine,news
634,Paste Media Group,2024-12-01,Writer,Feature essay with interview,feature essay with interview,writing and reporting,,essay,250,,0,,12,20.83,New Job - Still Waiting,Paypal,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,Entertainment,USA,No,NY,USA,,White,0-5 years,,Loved it,Nonbinary,2024-12-01,Paste Magazine,news
635,Pave Studios,2025-01-01,Writer,Researching and writing a ~6000 word script for a true crime podcast,researching and writing a ~6000 word script for a true crime podcast,writing and reporting,6000,audio,1000,,0,,25,40,30 days,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"Entertainment, Non Fiction General/Genre, True Crime; Podcast",United States,No,California,United States,She/Her,White,0-5 years,24,"Loved it, Would recommend to others","Cis, Female",2025-01-01,Pave Studios,ambiguous
636,Payload space,2023-07-17,Writer,Daily stories for newsletters,daily stories for newsletters,writing and reporting,,article,130,per article,100,"$100 for 300-400w, plus $30 an hour",1,130,2 weeks or less,Direct Deposit,Network referral,Unsure,Unsure,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Technology,US,No,California,remote,She/Her,South Asian,0-5 years,27,Whatevs,"Cis, Female",2023-07-17,Payload Space,ambiguous
637,PBS,2024-03-01,Writer,~800 word essay,~800 word essay,writing and reporting,800,essay,750,,0,,4,187.5,6 weeks,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,"No, but the job wasn't killed",,,,,,,,,,,History,US,No,DC,VA,,,10-15 years,,Would recommend to others,,2024-03-01,PBS,news
638,PCGamesN/FutureNet,2024-08-07,Writer,"1,000 word video game review",1000 word video game review,writing and reporting,1000,review,230.97,,0,,8,28.87,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,Publicly Available,No,No,,Entertainment,USA,Yes,IL,UK,She/Her,White,0-5 years,30,Would recommend to others,"Female, Trans",2024-08-07,PCGamesN,ambiguous
